159,21-04-2017 ,Smolna 38/5C,676978,58.5,11572,WA4M/00121951/0
160,27-04-2017 ,Nowolipie 21/1 ,396400,58.9,6727,WA4M/00116170/3 
161,24-04-2017 ,Lokajskiego 18/34,370000,59.4,6229,WA2M/00429930/2
162,23-05-2017 ,Zamiany 5/49,401425,59.4,6758,WA2M/00312503/7
163,24-05-2017 ,Klaudyny 30/4,344500,59.6,5784,brak KW
164,11-05-2017 ,Obrońców Tobruku 25/17,474210,60.3,7864,WA1M/00458816/2
165,29-05-2017 ,Siennicka 19/31 ,387469,60.9,6361,WA6M/00109952/1 
166,11-04-2017,Franciszka Kawy 46/U1,329284,61.2,5378,WA1M/00494892/2
167,09-05-2017,Wysockiego Piotra 14/94 ,326522,62,5266,WA3M/00475311/1 
168,26-04-2017,Górczewska 200c/254,460600,62.1,7415,WA1M/00476156/9
169,27-04-2017,Złotej Wilgi 8/176 ,322000,62.4,5164,WA6M/00350259/7 
170,27-04-2017,Grenadierów 9/40,340000,62.4,5449,brak KW
171,16-05-2017,Jeździecka 21B/40 ,363000,63,5766,WA6M/00450629/3 
172,12-05-2017,Łukowska 31/159,330000,63,5238,brak KW
173,22-05-2017,Smolna 9/49,584000,64.5,9056,WA4M/00061836/9
174,29-05-2017,Mikołajczyka 8/1 ,413831,64.5,6413,WA6M/00154897/7 
175,01-06-2017,Wolfkego Mieczysława 10/76,314925,65,4845,wa1m/00490077/5
176,06-06-2017,Kamińskiego 4/22,349146,65.2,5355,WA3M/00382093/7
177,11-05-2017,Lwowska 15/6 ,531000,65.4,8123,WA4M/00109469/4 
178,16-05-2017,Warchałowskiego 7/44 ,427000,66.2,6450,WA2M/00432998/0 
179,11-04-2017,ul.Bacha Jana Sebastiana 10a/38 ,436000,66.4,6566,WA2M/00485578/6 
180,25-05-2017,Wiktorii Wiedeńskiej 3/16,414000,66.5,6227,WA2M/00354148/6
181,09-05-2017,Komisji Edukacji Narodowej 52/100,568000,66.8,8504,WA2M/00438302/7
182,25-04-2017,Górczewska 181/307L,540300,67.2,8038,WA4M/00417113/6
183,08-06-2017,Olbrachta Jana 118A/33,474863,67.5,7035,WA1M/00301006/6
